ID,protocol name,protocol number,protocol date, periodicity,ATTENTION,ID2,ALARM,ID3,team
1010101,Испытание на нагрев,26-02-16-01,07.03.2016,10,2026-02-07,1010101,07.03.2026,1010101,ОЭМ
1010102,Испытание на нагрев,20-10-15,16.11.2015,10,2025-10-16,1010102,16.11.2025,1010102,ОЭМ
1010103,Испытания электрической прочности изоляции,20-10-15,16.11.2015,10,2025-10-16,1010103,16.11.2025,1010103,ОЭМ
1010104,Проверка внешнего вида и проверка на соответствие чертежам,20-02-16,03.03.2016,10,2026-02-03,1010104,03.03.2026,1010104,ОЭМ
1010105,Испытания электрической прочности изоляции,14-04-16,29.02.2016,10,2026-01-29,1010105,28.02.2026,1010105,ОЭМ
1010106,Испытание на соответствие степени защиты оболочки,11-02-16,19.02.2016,10,2026-01-19,1010106,19.02.2026,1010106,ОЭМ
1010107,Испытание на локализационную способность,012-097-2017,21.07.2017,10,2027-06-21,1010107,21.07.2027,1010107,ОЭМ
1010108,Испытание на локализационную способность,012-044-2016,07.06.2016,10,2026-05-07,1010108,07.06.2026,1010108,ОЭМ
1010109,Испытания на электродинамическую и термическую стойкость током КЗ,017-050-2016,24.06.2016,10,2026-05-24,1010109,24.06.2026,1010109,ОЭМ
1010110,Испытания на электродинамическую и термическую стойкость током КЗ цепей заземления,017-050-2016,24.06.2016,10,2026-05-24,1010110,24.06.2026,1010110,ОЭМ
1010111,Испытания на сейсмостойкость,02-02-15,10.02.2015,10,2025-01-10,1010111,10.02.2025,1010111,ОЭМ
1010112,Испытания на безопасность,09-02-18,14.02.2018,10,2028-01-14,1010112,14.02.2028,1010112,ОЭМ
1010113,Испытание на соответствие степени защиты оболочки,20-05-15,22.05.2015,10,2025-04-22,1010113,22.05.2025,1010113,ОЭМ
1010114,Испытания на электромагнитную совместимость,29016953-20-СИЦ,30.06.2020,10,2030-05-30,1010114,30.06.2030,1010114,ОЭМ
1010115,Испытание на нагрев,14-12-17-01,18.12.2017,10,2027-11-18,1010115,18.12.2027,1010115,ОЭМ
1010116,Испытание на нагрев,28-12-18-01,16.01.2019,10,2028-12-16,1010116,16.01.2029,1010116,ОЭМ
1010117,Испытание на коммутационную способность,012-094-2017,20.07.2017,10,2027-06-20,1010117,20.07.2027,1010117,ОЭМ
1010118,Испытание на коммутационную способность,012-095-2017,20.07.2017,10,2027-06-20,1010118,20.07.2027,1010118,ОЭМ
1010119,Испытание на коммутационную способность,012-096-2017,21.07.2017,10,2027-06-21,1010119,21.07.2027,1010119,ОЭМ
1010120,Испытания на электродинамическую и термическую стойкость током КЗ,017-099-2017,26.07.2017,10,2027-06-26,1010120,26.07.2027,1010120,ОЭМ
1010121,Испытания электрической прочности изоляции,28-11-17,01.12.2017,10,2027-11-01,1010121,01.12.2027,1010121,ОЭМ
1010122,Испытание на локализационную способность,012-203-2011,26.10.2011,10,2021-09-26,1010122,26.10.2021,1010122,ОЭМ
1010123,Испытания на стойкость к воздействию внешних механических факторов,2834-1/25,15.09.2014,10,2024-08-15,1010123,15.09.2024,1010123,ОЭМ
1010124,Испытания на сейсмостойкость,2834-1/25,15.09.2014,10,2024-08-15,1010124,15.09.2024,1010124,ОЭМ
1010125,Испытание на коммутационную способность,012-202-2011,26.10.2011,10,2021-09-26,1010125,26.10.2021,1010125,ОЭМ
1010126,Испытания на безопасность,13-01-11,19.01.2011,10,2020-12-19,1010126,19.01.2021,1010126,ОЭМ
1010127,Испытания на электродинамическую и термическую стойкость током КЗ,017-195-2011,14.10.2011,10,2021-09-14,1010127,14.10.2021,1010127,ОЭМ
1010128,Испытание на нагрев,23-11-11,28.11.2011,10,2021-10-28,1010128,28.11.2021,1010128,ОЭМ
1010129,Электромеханические испытания,07-11-12,08.11.2012,10,2022-10-08,1010129,08.11.2022,1010129,ОЭМ
1010130,Испытания на безопасность,12-11-14,13.11.2014,10,2024-10-13,1010130,13.11.2024,1010130,ОЭМ
1010131,Испытания на безопасность,13-01-14,13.01.2014,10,2023-12-13,1010131,13.01.2024,1010131,ОЭМ
1010132,Испытания на электромагнитную совместимость,013/2015-01-2-П,04.03.2015,10,2025-02-04,1010132,04.03.2025,1010132,ОЭМ
